pokemon_name,normalized_name,source_path,output_path
salamence,salamence,data/raw_images/_extracted/images/Salamence/2.jpg,data/images/salamence.jpg
gyarados,gyarados,data/raw_images/_extracted/images/Gyarados/4.jpg,data/images/gyarados.jpg
stoutland,stoutland,data/raw_images/_extracted/images/Stoutland/1.jpg,data/images/stoutland.jpg
pelipper,pelipper,data/raw_images/_extracted/images/Pelipper/1.jpg,data/images/pelipper.jpg
escavalier,escavalier,data/raw_images/_extracted/images/Escavalier/1.jpg,data/images/escavalier.jpg
pignite,pignite,data/raw_images/_extracted/images/Pignite/1.jpg,data/images/pignite.jpg
aron,aron,data/raw_images/_extracted/images/Aron/1.jpg,data/images/aron.jpg
slurpuff,slurpuff,data/raw_images/_extracted/images/Slurpuff/1.jpg,data/images/slurpuff.jpg
cacturne,cacturne,data/raw_images/_extracted/images/Cacturne/1.jpg,data/images/cacturne.jpg
poliwag,poliwag,data/raw_images/_extracted/images/Poliwag/2.jpg,data/images/poliwag.jpg
excadrill,excadrill,data/raw_images/_extracted/images/Excadrill/1.jpg,data/images/excadrill.jpg
carbink,carbink,data/raw_images/_extracted/images/Carbink/1.jpg,data/images/carbink.jpg
probopass,probopass,data/raw_images/_extracted/images/Probopass/1.jpg,data/images/probopass.jpg
cresselia,cresselia,data/raw_images/_extracted/images/Cresselia/1.jpg,data/images/cresselia.jpg
shinx,shinx,data/raw_images/_extracted/images/Shinx/1.jpg,data/images/shinx.jpg
sewaddle,sewaddle,data/raw_images/_extracted/images/Sewaddle/1.jpg,data/images/sewaddle.jpg
doublade,doublade,data/raw_images/_extracted/images/Doublade/1.jpg,data/images/doublade.jpg
heatmor,heatmor,data/raw_images/_extracted/images/Heatmor/1.jpg,data/images/heatmor.jpg
emolga,emolga,data/raw_images/_extracted/images/Emolga/1.jpg,data/images/emolga.jpg
silcoon,silcoon,data/raw_images/_extracted/images/Silcoon/1.jpg,data/images/silcoon.jpg
loudred,loudred,data/raw_images/_extracted/images/Loudred/1.jpg,data/images/loudred.jpg
sawk,sawk,data/raw_images/_extracted/images/Sawk/1.jpg,data/images/sawk.jpg
hoppip,hoppip,data/raw_images/_extracted/images/Hoppip/2.jpg,data/images/hoppip.jpg
shelmet,shelmet,data/raw_images/_extracted/images/Shelmet/1.jpg,data/images/shelmet.jpg
watchog,watchog,data/raw_images/_extracted/images/Watchog/1.jpg,data/images/watchog.jpg
minun,minun,data/raw_images/_extracted/images/Minun/1.jpg,data/images/minun.jpg
rapidash,rapidash,data/raw_images/_extracted/images/Rapidash/4.jpg,data/images/rapidash.jpg
goodra,goodra,data/raw_images/_extracted/images/Goodra/1.jpg,data/images/goodra.jpg
carnivine,carnivine,data/raw_images/_extracted/images/Carnivine/1.jpg,data/images/carnivine.jpg
nosepass,nosepass,data/raw_images/_extracted/images/Nosepass/1.jpg,data/images/nosepass.jpg
numel,numel,data/raw_images/_extracted/images/Numel/1.jpg,data/images/numel.jpg
chespin,chespin,data/raw_images/_extracted/images/Chespin/1.jpg,data/images/chespin.jpg
wingull,wingull,data/raw_images/_extracted/images/Wingull/1.jpg,data/images/wingull.jpg
gardevoir,gardevoir,data/raw_images/_extracted/images/Gardevoir/2.jpg,data/images/gardevoir.jpg
machamp,machamp,data/raw_images/_extracted/images/Machamp/4.jpg,data/images/machamp.jpg
klefki,klefki,data/raw_images/_extracted/images/Klefki/1.jpg,data/images/klefki.jpg
pinsir,pinsir,data/raw_images/_extracted/images/Pinsir/4.jpg,data/images/pinsir.jpg
gible,gible,data/raw_images/_extracted/images/Gible/1.jpg,data/images/gible.jpg
seedot,seedot,data/raw_images/_extracted/images/Seedot/1.jpg,data/images/seedot.jpg
muk,muk,data/raw_images/_extracted/images/Muk/4.jpg,data/images/muk.jpg
sliggoo,sliggoo,data/raw_images/_extracted/images/Sliggoo/1.jpg,data/images/sliggoo.jpg
seaking,seaking,data/raw_images/_extracted/images/Seaking/2.jpg,data/images/seaking.jpg
magikarp,magikarp,data/raw_images/_extracted/images/Magikarp/2.jpg,data/images/magikarp.jpg
floatzel,floatzel,data/raw_images/_extracted/images/Floatzel/1.jpg,data/images/floatzel.jpg
